,pdNum,stTime,readTime,temp,PoPs,dewpt,relHum,wdSpd,wdDir,icon,shrtFcst,appTemp,cldCvr,wdGst
0,1,2024-07-22T22:00:00,"10 PM, Mon Jul 22",75,75,72.0,90,0,Calm,tsra,Showers And Thunderstorms,75,85,10
1,2,2024-07-22T23:00:00,"11 PM, Mon Jul 22",75,77,72.0,90,0,Calm,tsra,Showers And Thunderstorms,75,86,10
2,3,2024-07-23T00:00:00,"12 AM, Tue Jul 23",74,77,72.0,93,0,Calm,tsra,Showers And Thunderstorms,74,88,8
3,4,2024-07-23T01:00:00,"01 AM, Tue Jul 23",73,76,71.0,93,0,Calm,tsra,Showers And Thunderstorms,73,89,8
4,5,2024-07-23T02:00:00,"02 AM, Tue Jul 23",72,75,71.0,97,0,Calm,tsra,Showers And Thunderstorms,72,90,8
5,6,2024-07-23T03:00:00,"03 AM, Tue Jul 23",72,70,71.0,97,0,Calm,tsra,Showers And Thunderstorms Likely,72,89,8
6,7,2024-07-23T04:00:00,"04 AM, Tue Jul 23",72,65,71.0,97,0,Calm,tsra,Showers And Thunderstorms Likely,72,88,7
7,8,2024-07-23T05:00:00,"05 AM, Tue Jul 23",71,60,71.0,100,0,Calm,rain_showers,Rain Showers Likely,71,87,6
8,9,2024-07-23T06:00:00,"06 AM, Tue Jul 23",72,55,71.0,97,0,Calm,rain_showers,Rain Showers Likely,72,86,7
9,10,2024-07-23T07:00:00,"07 AM, Tue Jul 23",72,50,71.0,97,0,Calm,rain_showers,Chance Rain Showers,72,85,7
10,11,2024-07-23T08:00:00,"08 AM, Tue Jul 23",74,23,72.0,93,5,W,rain_showers,Slight Chance Rain Showers,74,84,7
11,12,2024-07-23T09:00:00,"09 AM, Tue Jul 23",76,24,72.0,87,5,W,rain_showers,Slight Chance Rain Showers,76,82,7
12,13,2024-07-23T10:00:00,"10 AM, Tue Jul 23",78,24,72.0,82,5,NW,rain_showers,Slight Chance Rain Showers,78,79,8
13,14,2024-07-23T11:00:00,"11 AM, Tue Jul 23",80,25,72.0,77,5,W,rain_showers,Chance Rain Showers,84,76,9
14,15,2024-07-23T12:00:00,"12 PM, Tue Jul 23",81,25,72.0,74,5,SW,rain_showers,Chance Rain Showers,85,73,8
15,16,2024-07-23T13:00:00,"01 PM, Tue Jul 23",83,26,72.0,70,5,SW,tsra_sct,Chance Showers And Thunderstorms,88,71,9
16,17,2024-07-23T14:00:00,"02 PM, Tue Jul 23",84,26,72.0,67,5,SW,tsra_sct,Chance Showers And Thunderstorms,90,68,9
17,18,2024-07-23T15:00:00,"03 PM, Tue Jul 23",84,26,72.0,67,5,S,tsra_sct,Chance Showers And Thunderstorms,90,69,9
18,19,2024-07-23T16:00:00,"04 PM, Tue Jul 23",84,27,72.0,67,5,S,tsra_sct,Chance Showers And Thunderstorms,90,70,9
19,20,2024-07-23T17:00:00,"05 PM, Tue Jul 23",84,27,72.0,67,5,SE,tsra_sct,Chance Showers And Thunderstorms,90,71,9
20,21,2024-07-23T18:00:00,"06 PM, Tue Jul 23",83,28,73.0,72,5,SE,tsra_sct,Chance Showers And Thunderstorms,89,72,8
21,22,2024-07-23T19:00:00,"07 PM, Tue Jul 23",81,28,73.0,77,10,SE,tsra_sct,Chance Showers And Thunderstorms,86,73,8
